VISA,4532-5471-0699-4816,03/17,123
VISA,4961785148901,04/20,124
MasterCard,5584398929973080,09/19,123
MasterCard,5184398929973080,09/22,123
MasterCard,5284398929973080,01/16,154
MasterCard,5384398929973080,09/20,823
MasterCard,5484398929973080,04/18,123
American Express,344259201906721,03/16,1234
American Express,374259201906721,05/17,1434
VISA,4532-5471-0699-4816,03/17,1234
Discover,6011933302679615,02/18,123
Discover,6211933302679615,06/19,124
Discover,6411933302679615,01/20,723
Discover,6511933302679615,05/21,183
MoldovaBank,85247652465412,12/25,369

